url,precio,precio_valor,precio_moneda,mantenimiento_valor,caracteristicas,m2_totales,m2_construidos,recamaras,banos,estacionamientos,antiguedad,direccion,ubicacion,descripcion,amenidades,lat,lng,codigo_postal,scraped_created_at,scraped_updated_at
https://www.lamudi.com.mx/detalle/41032-73-e4cbabbe9e97-52c7-19c0fda-8933-74fe,"MN 2,150,000",2150000.0,MN,0.0,65 m² lote | 2 rec. | 2 banos | 1 estac.,65.0,65.0,2,2,1,N/A,"LocalizaciónIgnacio Zaragoza, Veracruz, Veracruz LlaveⓘEl anunciante prefiere no mostrar la dirección exactaVer en mapa","Veracruz Llave, Veracruz, Ignacio Zaragoza","Descripción ¡Tu nuevo hogar te espera en el corazón de Veracruz!
            

Descubre este moderno y acogedor departamento en Preventa, ideal para quienes buscan comodidad y estilo.
Este departamento es perfecto para disfrutar de momentos en familia o recibir a amigos.

VENTA  2,150,000   

Superficie:      65m2

Últimos dos departamentos disponibles.  ENTREGA PRIMAVERA 2026

Ubicación Privilegiada:

Situado en una zona estratégica de Veracruz, tendrás acceso a una variedad de servicios, incluyendo tiendas, restaurantes y áreas recreativas.
Además, estarás a pocos minutos de las hermosas playas y del vibrante centro de la ciudad.

¡No pierdas la oportunidad de hacer de este departamento tu nuevo hogar!
Contáctanos para más información sobre precios y disponibilidad.
¡Tu vida en Veracruz ",Aire acondicionado | Terraza,19.175531,-96.131276,91910,2026-07-29T20:32:08.162128,2026-07-29T20:32:08.162128
https://www.lamudi.com.mx/detalle/41032-73-d2c7ecebda7d-a87e-19ef045-9fdb-7f18,"MN 2,850,000",2850000.0,MN,0.0,80 m² lote | 2 rec. | 2 banos,80.0,80.0,2,2,0,N/A,"LocalizaciónIgnacio Zaragoza, Veracruz, Veracruz LlaveⓘEl anunciante prefiere no mostrar la dirección exactaVer en mapa","Veracruz Llave, Veracruz, Ignacio Zaragoza","Descripción Departamento Nuevo en Venta

Veracriuz, Ver

$2,850,000
+Gastos de escrituración
Precio sujeto a cambio sin previo aviso
Apartado desde $150,000

80 m2 área habitable

Sala
Comedor
Cocina integral
2 Habitaciones con clóset
2 Baños completos
Área de lavado
Estacionamiento para 1 auto
Elevador

Apartado $150,000.00
Abono a los 3 meses $150,000.00
Abono a los 6 meses $200,000.00
resto a la entrega abril 2027

Mantenimiento: $1,700.00",,19.182694,-96.125632,91910,2026-07-29T20:32:08.162166,2026-07-29T20:32:08.162166
https://www.lamudi.com.mx/detalle/41032-73-5adc412ecb6e-5e20-19c5fb4-b82a-78c1,"MN 2,750,000",2750000.0,MN,0.0,108 m² lote | 3 rec. | 2 banos | 1 estac.,108.0,108.0,3,2,1,N/A,"LocalizaciónReforma, Veracruz, Veracruz LlaveⓘEl anunciante prefiere no mostrar la dirección exactaVer en mapa","Veracruz Llave, Veracruz, Reforma","Descripción Departamento en venta – Calumar 250

????Boca del Río

Departamentos nuevos en edificio de solo 4 unidades, con excelente distribución, roof garden privado y equipamiento completo.

Precios desde:
•	Planta baja: $2,960,000
•	1er nivel: $2,890,000
•	2do nivel: $2,820,000
•	3er nivel: $2,750,000

Superficie
•	108.14 m² de construcción
Distribución
•	Sala – comedor
•	Cocina integral equipada (estufa y campana de acero inoxidable)
•	Cuarto de lavado
•	Recámara principal con clóset y baño
•	2 recámaras secundarias con clóset
•	Baño completo compartido
•	Clóset de blancos
•	Garaje para 1 auto con portón eléctrico
Roof garden
•	Pérgola
•	Tarja
•	Medio baño
•	Asador
Equipamiento
•	3 minisplits en recámaras y 1 en sala-comedor
•	Calentador de paso
•	Cisterna individual de 3,000 L
•	Tina",Aire acondicionado | Cisterna | Terraza,19.172961,-96.12532,91919,2026-07-29T20:32:08.162182,2026-07-29T20:32:08.162182
https://www.lamudi.com.mx/detalle/41032-73-ae6099c1ce57-9f46-19d3d25-a1a2-73b8,"MN 2,800,000",2800000.0,MN,0.0,80 m² lote | 2 rec. | 2 banos | 1 estac.,80.0,80.0,2,2,1,N/A,"LocalizaciónIgnacio Zaragoza, Veracruz, Veracruz LlaveVer en mapa","Veracruz Llave, Veracruz, Ignacio Zaragoza","Descripción Descubre este encantador departamento ubicado en el corazón de Ignacio Zaragoza, Veracruz, una zona que combina la tranquilidad residencial con la conveniencia urbana. Situado en el sexto piso de un edificio moderno, este departamento ofrece una superficie total de 80 m2, ideal para quienes buscan un espacio cómodo y funcional.

El departamento cuenta con una excelente distribucion, consta de dos recámaras dos baños, sala comedor, proporcionando el espacio necesario para una familia o para quienes deseen un ambiente de trabajo desde casa. La cocina es práctica y está equipada para satisfacer todas tus necesidades culinarias.

El edificio dispone de un elevador, lo que facilita el acceso a la propiedad. Además, incluye un espacio de estacionamiento, asegurando la comodidad y seg",Alberca | Terraza,19.1829974,-96.1263187,,2026-07-29T20:32:08.162194,2026-07-29T20:32:08.162194
https://www.lamudi.com.mx/detalle/41032-73-138e5db89db1-2db9-1988869-b38d-77d4,"MN 2,150,000",2150000.0,MN,0.0,65 m² lote | 2 rec. | 2 banos | 1 estac.,65.0,65.0,2,2,1,N/A,"LocalizaciónIgnacio Zaragoza, Veracruz, Veracruz LlaveVer en mapa","Veracruz Llave, Veracruz, Ignacio Zaragoza","Descripción Departamento ubicado en el punto donde tu lo necesitas

Preventa de departamento en la Calle Luz Nava casi ese con 20 de Noviembre en zona cerca de escuelas, hospitales y tiendas de conveniencia

Departamento de 65 metros cuadrados ubicado en 3er piso 
conformado por
* estancia
* cocina equipada
* 2 recamaras
* 2 baños
* 1 lugar de estacionamiento

Amenidades

Alberca
Asador
Areas verdes

Ya solo queda este departamento, aprovecha esta oportunidad

Informes al Ver teléfono Whatsapp",Aire acondicionado | Alberca | Circuito Cerrado | Cisterna | Terraza,19.1755451,-96.1307047,,2026-07-29T20:32:08.162207,2026-07-29T20:32:08.162207
https://www.lamudi.com.mx/detalle/41032-73-64c13f281290-1762-1993b80-c02a-73cb,"MN 1,350,000",1350000.0,MN,0.0,70 m² lote | 2 rec. | 2 banos | 1 estac.,70.0,70.0,2,2,1,N/A,"LocalizaciónEl Coyol, Veracruz, Veracruz LlaveⓘEl anunciante prefiere no mostrar la dirección exactaVer en mapa","Veracruz Llave, Veracruz, El Coyol","Descripción Descubre este funcional departamento con un diseño que maximiza cada metro cuadrado.

Ubicado en una zona tranquila, este inmueble ofrece un ambiente acogedor ideal para familias pequeñas o parejas.

Cuenta con acabados prácticos y una distribución inteligente que separa las áreas sociales de las privadas.

El interior consta de una sala-comedor integrada, perfecta para recibir visitas o disfrutar de momentos en familia. La cocina integral que facilita la preparación de alimentos.

Las 2 recámaras ofrecen espacios cómodos y funcionales, complementadas por 2 baños completos.

En el exterior, disfruta de un patio ideal para mascotas. Además, cuenta con 1 lugar de estacionamiento asignado.

Los servicios básicos de agua y luz están garantizados.

- Precio aplicable a cualquier tip",Circuito Cerrado,19.160988,-96.1501849,,2026-07-29T20:32:08.162220,2026-07-29T20:32:08.162220
https://www.lamudi.com.mx/detalle/41032-73-9fcd70e734a5-48f2-19b9f58-9942-75b7,"MN 1,920,000",1920000.0,MN,0.0,52 m² lote | 1 rec. | 1 bano,52.0,52.0,1,1,0,N/A,"LocalizaciónRicardo Flores Magon, Veracruz, Veracruz LlaveⓘEl anunciante prefiere no mostrar la dirección exactaVer en mapa","Veracruz Llave, Veracruz, Ricardo Flores Magon","Descripción DEPARTAMENTOS EN VENTA JARANA EN LA ZONA TURÍSTICA DEL PUERTO DE VERACRUZ
Superficie 52 m2 1 recámara
75 m2 2 recámaras
78 m2 2 recámaras

Cómodos departamentos en ubicación privilegiada a unos minutos del centro y los principales puntos turísticos del Puerto de Veracruz. A tres cuadras del boulevard Manuel Avila Camacho. 

HAY DE 1 Y 2 RECÁMARAS cuentan con:
- 1 recámara con balcón y closet
- 1 baño completo
- cocina integral con parrilla eléctrica y campana, carpintería, tarja y llave mezcladora
- sala-comedor
- cuarto de lavado
- 1 cajón de estacionamiento
Instalación para dos aires acondicionados, pisos de primera en formato 60X60 marca Porcelanite.
Roof garden con piso y medio baño, área de asador techada.

A 15 minutos caminando de los principales puntos turísticos del ce",Jardin | Terraza,19.192303,-96.128469,91900,2026-07-29T20:32:08.162231,2026-07-29T20:32:08.162231
https://www.lamudi.com.mx/detalle/41032-73-9feca10f9a99-ab14-19f9cba-bdc5-7d62,"MN 1,890,000",1890000.0,MN,0.0,70 m² lote | 2 rec. | 2 banos | 1 estac.,70.0,70.0,2,2,1,N/A,"LocalizaciónVeracruz Centro, Veracruz, Veracruz LlaveⓘEl anunciante prefiere no mostrar la dirección exactaVer en mapa","Veracruz Llave, Veracruz, Veracruz Centro","Descripción Departamento en Preventa en Calle Alacio Perez
Departamento en preventa
Ubicado en el tercer Nivel Departamento de 70 metros cuadrados 
Consta de sala, comedor, cocina integral equipada, dos recamaras, dos baños
1 lugar de estacionamiento
Departamento ubicado cerca de zona de hospitales, escuelas centros comerciales
con varias rutas de acceso
el departamento se entrega con minisplit estufa y campana

Contamos con la Propiedad ideal para personas únicas como tu .......

Nuestro mayor placer es acompañarte es acompañarte en el proceso para que obtengas ese hogar especial que estas buscando",Aire acondicionado | Circuito Cerrado,19.188641,-96.134174,91900,2026-07-29T20:32:08.162242,2026-07-29T20:32:08.162242
https://www.lamudi.com.mx/detalle/41032-73-893df710c57f-6c70-19a0b4f-a2cc-787b,"MN 1,980,000",1980000.0,MN,0.0,76 m² lote | 2 rec. | 1 bano | 1 estac.,76.0,76.0,2,1,1,N/A,"LocalizaciónVeracruz Centro, Veracruz, Veracruz LlaveⓘEl anunciante prefiere no mostrar la dirección exactaVer en mapa","Veracruz Llave, Veracruz, Veracruz Centro","Descripción Veracruz, Centro

28 Departamentos con elevador 
7 unidades por nivel

76 m2
77m2
80.5m2

Departamentos desde
$2,230,000

Recibidor
Sala 
Comedor
Cocina equipada con cubierta de granito y barra desayunador 
1 Baño completo 
1 Habitación con closet
1 Habitación con closet 
Área de lavado
1 Cajón de estacionamiento 
1 Bodega
Tanque de gas estacionado por departamento

Amenidades: 
Área de coworking (área de trabajo)
Terraza equipada
Sport bar
Elevador
Estacionamiento techado
Servicio de vigilancia con portero para tu tranquilidad 
Bodegas de almacenamiento por departamento

¡No pierdas la oportunidad! Aparta tu ubicación con solo $20,000.00, Aceptamos Todos los créditos.",Seguridad privada | Terraza,19.196146,-96.145413,91700,2026-07-29T20:32:08.162253,2026-07-29T20:32:08.162253
https://www.lamudi.com.mx/detalle/41032-73-6a9812ca9b82-971-19f71ce-86fa-7838,"MN 1,980,000",1980000.0,MN,0.0,70 m² lote | 2 rec. | 2 banos,70.0,70.0,2,2,0,N/A,"LocalizaciónIgnacio Zaragoza, Veracruz, Veracruz LlaveⓘEl anunciante prefiere no mostrar la dirección exactaVer en mapa","Veracruz Llave, Veracruz, Ignacio Zaragoza","Descripción DEPARTAMENTOS EN VENTA EN COLONIA ZARAGOZA, GENIA, GENUS
Superficie 70 m2 

Vive cerca de todo lo que necesitas!
Hospital, parque, tiendas de materiales de oficina, centro comercial, restaurantes, centros de ocio, farmacia, supermercado, colegio, estación de bomberos, hoteles y la playa, todo a pocos minutos de tu nuevo hogar. 
Comodidad y funcionalidad para ti y tu familia!!!

CARACTERÍSTICAS:
- 2 Recámaras
- 2 Baños completos
- Cocina integral con estufa y campana
- 1 Estacionamiento
- Calentador
- Interfón
- Mini Splits
- Área de lavado
- Gas estacionario individual

AMENIDADES:
Alberca
Terraza con asador y baños
Caseta de vigilancia

No dejes pasar esta excelente oportunidad de inversión. 
Contáctanos hoy mismo para agendar una visita y estrenar tu nuevo departamento en una",Aire acondicionado | Alberca | Jardin | Seguridad privada | Terraza,19.176692,-96.130575,91910,2026-07-29T20:32:08.162263,2026-07-29T20:32:08.162263
