Título,Precio,Dirección,URL,Metros cuadrados,Recámaras,Baños
"Monte Magno, Col. Ánimas Marqueza, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91193, ID: 27098638","$4,950,000 MXN","Monte Magno, Col. Ánimas  Marqueza",https://propiedades.com/inmuebles/casa-en-venta-monte-magno-animas-marqueza-veracruz-27098638#pagina=1&tipos=casas-venta&area=veracruz&pos=1,320,4,3
"Privada Lomas Diamante #1, Col. Lomas Diamante, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29906697","$4,100,000 MXN","Privada Lomas Diamante #1, Col. Lomas Diamante",https://propiedades.com/inmuebles/casa-en-venta-privada-lomas-diamante-1-lomas-diamante-veracruz-29906697#pagina=1&tipos=casas-venta&area=veracruz&pos=2,250,3,2
"Emiliano Zapata, Col. El Telefre, Emiliano Zapata, Veracruz de Ignacio de la Llave, México, C.P. 91643, ID: 27150921","$2,350,000 MXN","Emiliano Zapata, Col. El Telefre",https://propiedades.com/inmuebles/casa-en-venta-emiliano-zapata-el-telefre-veracruz-27150921#pagina=1&tipos=casas-venta&area=veracruz&pos=3,152,1,1
"BOULERVARD DEL CAFE #s/n, Col. Villa de las Flores, Fortín, Veracruz de Ignacio de la Llave, México, C.P. 94477, ID: 29211627","$980,000 MXN","BOULERVARD DEL CAFE #s/n, Col. Villa de las Flores",https://propiedades.com/inmuebles/casa-en-venta-boulervard-del-cafe-sn-villa-de-las-flores-veracruz-29211627#pagina=1&tipos=casas-venta&area=veracruz&pos=4,74,3,1
"Tamesí #206, Col. 5 de Febrero, Poza Rica de Hidalgo, Veracruz de Ignacio de la Llave, México, C.P. 93269, ID: 28129626","$950,000 MXN","Tamesí #206, Col. 5 de Febrero",https://propiedades.com/inmuebles/casa-en-venta-tamesi-206-5-de-febrero-veracruz-28129626#pagina=1&tipos=casas-venta&area=veracruz&pos=5,200,2,1
"musicos #7, Col. Lomas de la Rioja, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95266, ID: 29037656","$3,300,000 MXN","musicos #7, Col. Lomas de la Rioja",https://propiedades.com/inmuebles/casa-en-venta-musicos-7-lomas-de-la-rioja-veracruz-29037656#pagina=1&tipos=casas-venta&area=veracruz&pos=6,160,3,2
"Av. Puerta Paraiso s/n, 91775 Veracruz, Ver., Col. Banaterra, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91775, ID: 29708268","$1,500,000 MXN","Av. Puerta Paraiso s/n, 91775 Veracruz, Ver., Col. Banaterra",https://propiedades.com/inmuebles/casa-en-venta-av-puerta-paraiso-sn-91775-veracruz-ver-banaterra-veracruz-29708268#pagina=1&tipos=casas-venta&area=veracruz&pos=7,71,3,1
"Av. Veracruz No. 23 Fracc. Puente Moreno C.P. 94274 Medellin de Bravo, Veracruz., Col. Puente Moreno, Medellín de Bravo, Veracruz de Ignacio de la Llave, México, C.P. 94274, ID: 29708355","$638,400 MXN","Av. Veracruz No. 23 Fracc. Puente Moreno C.P. 94274 Medellin de Bravo, Veracruz., Col. Puente Moreno",https://propiedades.com/inmuebles/casa-en-venta-av-veracruz-no-23-fracc-puente-moreno-cp-94274-medellin-de-bravo-veracruz-puente-moreno-veracruz-29708355#pagina=1&tipos=casas-venta&area=veracruz&pos=8,67,2,1
"Avenida del Palmar, Col. Villitas, Fortín, Veracruz de Ignacio de la Llave, México, C.P. 94473, ID: 29722541","$2,480,000 MXN","Avenida del Palmar, Col. Villitas",https://propiedades.com/inmuebles/casa-en-venta-avenida-del-palmar-villitas-veracruz-29722541#pagina=1&tipos=casas-venta&area=veracruz&pos=9,164,3,2
"FRACCIONAMIENTO PALMAR, Col. Casitas, Tecolutla, Veracruz de Ignacio de la Llave, México, C.P. 93590, ID: 26207170","$1,200,000 MXN","FRACCIONAMIENTO PALMAR, Col. Casitas",https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-palmar-casitas-veracruz-26207170#pagina=1&tipos=casas-venta&area=veracruz&pos=10,60,2,2
"Benito Juárez 63 #63Int. 4, Col. Jalapilla, Rafael Delgado, Veracruz de Ignacio de la Llave, México, C.P. 94410, ID: 29738686","$2,500,000 MXN","Benito Juárez 63 #63Int. 4, Col. Jalapilla",https://propiedades.com/inmuebles/casa-en-venta-benito-juarez-63-63-jalapilla-veracruz-29738686#pagina=1&tipos=casas-venta&area=veracruz&pos=11,163,3,2
"Arista y Patriotismo, Col. Pocitos y Rivera, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91729, ID: 29037657","$3,150,000 MXN","Arista y Patriotismo, Col. Pocitos y Rivera",https://propiedades.com/inmuebles/casa-en-venta-arista-y-patriotismo-pocitos-y-rivera-veracruz-29037657#pagina=1&tipos=casas-venta&area=veracruz&pos=12,224,2,1
", Col. Boca del Río Centro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94290, ID: 23889612","$145,000,000 MXN"," , Col. Boca del Río Centro",https://propiedades.com/inmuebles/casa-en-venta-boca-del-rio-centro-veracruz-23889612#pagina=1&tipos=casas-venta&area=veracruz&pos=13,1080,5,6
"CIRCUITO DEL MOLINO #s/n, Col. Residencial Finca Real, Córdoba, Veracruz de Ignacio de la Llave, México, C.P. 94510, ID: 29063677","$2,520,000 MXN","CIRCUITO DEL MOLINO #s/n, Col. Residencial Finca Real",https://propiedades.com/inmuebles/casa-en-venta-circuito-del-molino-sn-residencial-finca-real-veracruz-29063677#pagina=1&tipos=casas-venta&area=veracruz&pos=14,160,3,3
"Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., México, Col. 16 de Febrero, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91725, ID: 29709151","$1,138,000 MXN","Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., México, Col. 16 de Febrero",https://propiedades.com/inmuebles/casa-en-venta-av-valente-diaz--2-lomas-sn-fracc-heroes-de-veracruz-91725-veracruz-ver-mexico-16-de-febrero-veracruz-29709151#pagina=1&tipos=casas-venta&area=veracruz&pos=15,67,2,1
"Privada Lomas Diamante #1, Col. Lomas Diamante, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 29906698","$3,650,000 MXN","Privada Lomas Diamante #1, Col. Lomas Diamante",https://propiedades.com/inmuebles/casa-en-venta-privada-lomas-diamante-1-lomas-diamante-veracruz-29906698#pagina=1&tipos=casas-venta&area=veracruz&pos=16,275,3,3
"Juan Soto #68, Col. Túxpam de Rodríguez Cano Centro, Tuxpan, Veracruz de Ignacio de la Llave, México, C.P. 92800, ID: 29786482","$4,000,000 MXN","Juan Soto  #68, Col. Túxpam de Rodríguez Cano Centro",https://propiedades.com/inmuebles/casa-en-venta-juan-soto-68-tuxpam-de-rodriguez-cano-centro-veracruz-29786482#pagina=1&tipos=casas-venta&area=veracruz&pos=17,260,3,3
", Col. Playas de Conchal, Alvarado, Veracruz de Ignacio de la Llave, México, C.P. 95264, ID: 24500272","$5,200,000 MXN"," , Col. Playas de Conchal",https://propiedades.com/inmuebles/casa-en-venta-playas-de-conchal-veracruz-24500272#pagina=1&tipos=casas-venta&area=veracruz&pos=18,No disponible,No disponible,No disponible
"ANDADOR GARDENIAS #7, Col. El Vergel, Poza Rica de Hidalgo, Veracruz de Ignacio de la Llave, México, C.P. 93399, ID: 29385853","$2,100,000 MXN","ANDADOR GARDENIAS #7, Col. El Vergel",https://propiedades.com/inmuebles/casa-en-venta-andador-gardenias-7-el-vergel-veracruz-29385853#pagina=1&tipos=casas-venta&area=veracruz&pos=19,250,5,5
"Alacío Pérez #12, Col. Ignacio Zaragoza, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91910, ID: 29906815","$7,200,000 MXN","Alacío Pérez #12, Col. Ignacio Zaragoza",https://propiedades.com/inmuebles/casa-en-venta-alacio-perez-12-ignacio-zaragoza-veracruz-29906815#pagina=1&tipos=casas-venta&area=veracruz&pos=20,250,3,3
"Área Privada Buena Vista II, Col. Felipe Carrillo Puerto, Xalapa, Veracruz de Ignacio de la Llave, México, C.P. 91080, ID: 29852082","$2,000,000 MXN","Área Privada Buena Vista II, Col. Felipe Carrillo Puerto",https://propiedades.com/inmuebles/casa-en-venta-area-privada-buena-vista-ii-felipe-carrillo-puerto-veracruz-29852082#pagina=1&tipos=casas-venta&area=veracruz&pos=21,110,3,1
"Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., Col. 16 de Febrero, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91725, ID: 29709340","$938,000 MXN","Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., Col. 16 de Febrero",https://propiedades.com/inmuebles/casa-en-venta-av-valente-diaz--2-lomas-sn-fracc-heroes-de-veracruz-91725-veracruz-ver-16-de-febrero-veracruz-29709340#pagina=1&tipos=casas-venta&area=veracruz&pos=22,62,2,1
"Fraccionamiento Residencial , Col. Campestre Las Trancas, Emiliano Zapata, Veracruz de Ignacio de la Llave, México, C.P. 91637, ID: 28289297","$2,524,000 MXN","Fraccionamiento Residencial , Col. Campestre Las Trancas",https://propiedades.com/inmuebles/casa-en-venta-fraccionamiento-residencial-campestre-las-trancas-veracruz-28289297#pagina=1&tipos=casas-venta&area=veracruz&pos=23,140,2,2
"Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., Col. 16 de Febrero, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91725, ID: 29709153","$1,198,000 MXN","Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., Col. 16 de Febrero",https://propiedades.com/inmuebles/casa-en-venta-av-valente-diaz--2-lomas-sn-fracc-heroes-de-veracruz-91725-veracruz-ver-16-de-febrero-veracruz-29709153#pagina=1&tipos=casas-venta&area=veracruz&pos=24,74,3,2
"LOMBARDO TOLEDANOInt. 00, Col. El Zopilote, Córdoba, Veracruz de Ignacio de la Llave, México, C.P. 94670, ID: 28832700","$1,735,000 MXN","LOMBARDO TOLEDANOInt. 00, Col. El Zopilote",https://propiedades.com/inmuebles/casa-en-venta-lombardo-toledano-el-zopilote-veracruz-28832700#pagina=1&tipos=casas-venta&area=veracruz&pos=25,160,3,3
"Juan Soto Lara, Col. Del Puerto, Tuxpan, Veracruz de Ignacio de la Llave, México, C.P. 92880, ID: 28734521","$4,000,000 MXN","Juan Soto Lara, Col. Del Puerto",https://propiedades.com/inmuebles/casa-en-venta-juan-soto-lara-del-puerto-veracruz-28734521#pagina=1&tipos=casas-venta&area=veracruz&pos=26,230,3,3
"Valente Díaz - 2 Lomas número 100, Fracc. La Querencia Residencial, 91697 Veracruz, Ver., Col. Libertad, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91697, ID: 29709048","$1,113,000 MXN","Valente Díaz - 2 Lomas número 100, Fracc. La Querencia Residencial, 91697 Veracruz, Ver., Col. Libertad",https://propiedades.com/inmuebles/casa-en-venta-valente-diaz--2-lomas-numero-100-fracc-la-querencia-residencial-91697-veracruz-ver-libertad-veracruz-29709048#pagina=1&tipos=casas-venta&area=veracruz&pos=27,75,2,1
"Calle Cherna #946, Col. Costa de Oro, Boca del Río, Veracruz de Ignacio de la Llave, México, C.P. 94299, ID: 29417608","$6,500,000 MXN","Calle Cherna #946, Col. Costa de Oro",https://propiedades.com/inmuebles/casa-en-venta-calle-cherna-946-costa-de-oro-veracruz-29417608#pagina=1&tipos=casas-venta&area=veracruz&pos=28,285,5,4
", Col. Guadalupe Victoria, Coatzacoalcos, Veracruz de Ignacio de la Llave, México, C.P. 96520, ID: 29494863","$2,500,000 MXN"," , Col. Guadalupe Victoria",https://propiedades.com/inmuebles/casa-en-venta-guadalupe-victoria-veracruz-29494863#pagina=1&tipos=casas-venta&area=veracruz&pos=29,210,3,3
"Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., Col. 16 de Febrero, Veracruz, Veracruz de Ignacio de la Llave, México, C.P. 91725, ID: 29709154","$1,518,999 MXN","Av, Valente Díaz - 2 Lomas S/N, Fracc. Héroes de Veracruz, 91725 Veracruz, Ver., Col. 16 de Febrero",https://propiedades.com/inmuebles/casa-en-venta-av-valente-diaz--2-lomas-sn-fracc-heroes-de-veracruz-91725-veracruz-ver-16-de-febrero-veracruz-29709154#pagina=1&tipos=casas-venta&area=veracruz&pos=30,89,3,3
