url,precio,precio_valor,precio_moneda,mantenimiento_valor,caracteristicas,m2_totales,m2_construidos,recamaras,banos,estacionamientos,antiguedad,direccion,ubicacion,descripcion,amenidades,lat,lng,tipo_propiedad,tipo_operacion,scraped_created_at,scraped_updated_at
https://www.vivanuncios.com.mx/a-venta-departamento/playas-del-conchal/departamento-en-venta-torre-maree-el-ancla-residencial/150032336,"MXN 4,300,000",4300000.0,MXN,0.0,143.0 m² lote | 3 rec. | 3 banos | 2 estac.,143.0,143.0,3,3,2,A estrenar,"Playas del Conchal, Alvarado, Veracruz","Veracruz, Alvarado, Playas del Conchal",Superficie desde 143 m2 3 Recamaras Terraza privada Frente al mar Acceso directo a la playa Elevador Vigilancia las 24 hrs CARACTERÍSTICAS: Estacionamiento techado para 2 autos Espacio Sala-Comedor con terraza 1/2 Baño para visitas Cocina integral con barra de granito Cuarto de servicio 3 Recamaras con closet y baño completo AMENIDADES: Roof Garden Portón eléctrico Elevador Iluminación led Ducteria para aire acondicionado y gas Gimnasio Salón de juegos Alberca Vigilancia las 24 hrs Acceso a la playa,Alberca | Seguridad privada | Aire acondicionado | Terraza,19.0772862,-96.087779,Departamento,Venta,2026-07-29T20:32:47.123489,2026-07-29T20:32:47.123489
https://www.vivanuncios.com.mx/a-venta-departamento/el-estero/departamento-amueblado-en-renta/150091273,"MXN 11,600,000",11600000.0,MXN,0.0,356.0 m² lote | 3 rec. | 4 banos | 0 estac.,356.0,356.0,3,4,0,15,"El Estero, Boca del Río, Veracruz","Veracruz, Boca del Río, El Estero","Departamento en Renta y/ó Venta Torre Marina Tajín Barbara !Vista al río y al mar de 2 niveles de 356 m2 AMUEBLADO! $11,600,000 precio en VENTA +Gastos de escrituración $45,000.00 precio en RENTA Renta mensual con mantenimiento *Póliza jurídica* -Planta baja Amplia sala Terraza Comedor Antecomedor o desayunador Cocina integral con estufa, campana, alacena, isla y barra desayunador Cuarto de lavado Cuarto de servicio con baño completo Medio baño de visitas -Planta alta Vestíbulo con acceso independiente a elevador Clóset de séptico Clóset de blancos 1 Habitación principal con vestidor y baño completo 1 Habitación secundaria amplia con balcón, vestidos y baño completo 1 Habitación secundaria con baño completo 3 Cajones de estacionamiento techados Vigilancia 24 horas con lobby en recepción 2 ",Alberca | Seguridad privada | Aire acondicionado | Terraza | Jardin,19.0930048377,-96.0986675497,Departamento,Venta,2026-07-29T20:32:47.123580,2026-07-29T20:32:47.123580
https://www.vivanuncios.com.mx/a-venta-departamento/costa-verde/departamento-en-venta-azure-residencial-boca-del-rio/149145074,"MXN 4,290,000",4290000.0,MXN,0.0,90.0 m² lote | 2 rec. | 2 banos | 2 estac.,90.0,90.0,2,2,2,A estrenar,"Costa Verde, Boca del Río, Veracruz","Veracruz, Boca del Río, Costa Verde","Superficie 90 m2 2 Recamaras Vista al mar Amenidades Sobre Blvd. Manuel Avila Camacho Cerca de supermercados como Costco, Soriana y Walmart CARACTERÍSTICAS: 2 Estacionamientos Espacio Sala-Comedor Cocina integral 2 Recamaras (la principal con vestidor) 2 Baños Cuarto de lavado AMENIDADES: Alberca Bar Asoleadero y terraza Gimnasio Jacuzzi Roof top Coworking Salón social privado",Alberca | Seguridad privada | Terraza,19.1600196,-96.1012542,Departamento,Venta,2026-07-29T20:32:47.123598,2026-07-29T20:32:47.123598
https://www.vivanuncios.com.mx/a-venta-departamento/playa-de-oro-mocambo/departamento-en-venta-boca-del-rio-veracruz-playa-de-oro-mocambo-condominio-playa-dorada/150292392,"MXN 3,500,000",3500000.0,MXN,0.0,120.0 m² lote | 2 rec. | 2 banos | 1 estac.,120.0,120.0,2,2,1,28,"Playa de Oro Mocambo, Boca del Río, Veracruz","Veracruz, Boca del Río, Playa de Oro Mocambo","Departamento a la Venta en una excelente ubicación de Boca del Río, Veracruz a los pies de las famosas playas de Mocambo. Condominio Playa Dorada compuesta por 2 torres de departamentos con acceso controlado 24 horas, amenidades Premium como: - jardín - Palapa - alberca y chapoteadero - Palapa bar - baños - regadera exterior - acceso a playa - elevador El Departamento cuenta con 120m2 habitables, 2 cajones de estacionamiento, se encuentra ubicado en el piso 6, cuenta con escalera y elevador. Como dicen lo clásico nunca pasa de moda y menos aún con vista al mar, pero no solo tenemos vista al mar ¡tenemos acceso al mar del bello puerto de Veracruz ! Cuenta con Sala comedor Clóset de blancos Cuarto de lavado Cocina integral con barra Baño Terraza Recámara 1 con clóset y terraza cerrada con op",Alberca | Seguridad privada | Aire acondicionado | Cisterna | Terraza | Jardin,19.1294496824,-96.105722081,Departamento,Venta,2026-07-29T20:32:47.123611,2026-07-29T20:32:47.123611
https://www.vivanuncios.com.mx/a-venta-departamento/costa-verde/departamento-en-venta-veracruz-amueblado-con-vista-panoramica-fracc-costa-verde/150247015,"MXN 2,595,000",2595000.0,MXN,0.0,107.0 m² lote | 2 rec. | 2 banos | 1 estac.,107.0,107.0,2,2,1,11,"Costa Verde, Boca del Río, Veracruz","Veracruz, Boca del Río, Costa Verde","Departamento en venta amueblado con vista panoramica sobre avenida Ruiz Cortines, Boca del Río, Veracruz Precio amueblado $2,695,000 Precio sin muebles: $2,595,000 107 m2 habitables con cajon de estacionamiento techado Mantenimiento $900 mensuales * A dos cuadras del boulevard Avila Camacho Tercer nivel * Sala comedor con balcón * Cocina integral * Cuarto de Lavado * Pasillo con labavo * Amplia recámara con vista panoramica y doble clóset * Baño completo compartido * Recámara principal con baño completo y closet Equipamiento * Climas * Totalmente amueblado * Calentador * Persianas * Tanque estacionario * Portón eléctrico compartido * Cisterna compartida Precio sujeto a cambio sin previo aviso El precio no incluye gastos notariales Ver datos",Seguridad privada | Cisterna,19.1670830608,-96.1154511635,Departamento,Venta,2026-07-29T20:32:47.123622,2026-07-29T20:32:47.123622
https://www.vivanuncios.com.mx/a-venta-departamento/fraccionamiento-costa-de-oro/departamento-nuevo-en-venta-costa-de-oro/149991673,"MXN 6,000,000",6000000.0,MXN,0.0,166.0 m² lote | 3 rec. | 3 banos | 2 estac.,166.0,166.0,3,3,2,A estrenar,"Fraccionamiento Costa de Oro, Boca del Río, Veracruz","Veracruz, Boca del Río, Fraccionamiento Costa de Oro","Departamento Nuevo en Venta Torre Ankor Costa de Oro, Boca de Río $6,000,000 +Gastos de escrituración 166 m2 Recibidor Sala Comedor ambos con vista al mar Cocina integral con barra de granito, parrilla, campana, tarja, torre para hornos y barra desayunador Medio baño de visitas 1 Habitación principal con baño completo y vestidor Área de TV Cuarto de lavado 1 Habitación secundaria con baño completo, clóset y balcón Roof Garden Alberca Salón social Gimnasio Terraza Recepción con vigilancia",Alberca | Seguridad privada | Aire acondicionado | Terraza,19.1608208525,-96.1031621915,Departamento,Venta,2026-07-29T20:32:47.123632,2026-07-29T20:32:47.123632
https://www.vivanuncios.com.mx/a-venta-departamento/revolucion/departamento-en-venta-torre-residencial-francisco-villa-boca-del-rio/150094501,"MXN 2,500,000",2500000.0,MXN,0.0,116.0 m² lote | 2 rec. | 2 banos | 2 estac.,116.0,116.0,2,2,2,1,"Revolución, Boca del Río, Veracruz","Veracruz, Boca del Río, Revolución",Superficie 116 m2 Con Paneles Solares A solo dos cuadras de Calzada Lázaro Cárdenas A 3 minutos de plaza Urban Center CARACTERÍSTICAS: Cochera para 2 autos Bodega en azotea Espacio Sal-comedor 1/2 Baño Cocina con barra Cuarto de lavado Recamara principal con vestidor y baño completo Recamara secundaria con closet y baño completo AMENIDADES: Roof garden Área social Paneles solares,Seguridad privada | Terraza,19.1458054,-96.1204386,Departamento,Venta,2026-07-29T20:32:47.123643,2026-07-29T20:32:47.123643
https://www.vivanuncios.com.mx/a-venta-departamento/fraccionamiento-costa-de-oro/departamento-en-preventa-torre-solandri-costa-de-oro/147714521,"MXN 4,750,000",4750000.0,MXN,0.0,152.0 m² lote | 3 rec. | 3 banos | 2 estac.,152.0,152.0,3,3,2,A estrenar,"Fraccionamiento Costa de Oro, Boca del Río, Veracruz","Veracruz, Boca del Río, Fraccionamiento Costa de Oro","Desde $4’750,000 hasta $4’990,000 Superficie desde 152 m2 3 Niveles con 1 Departamento por planta Prototipos de 2 y 3 Recámaras 2 CAJONES DE ESTACIONAMIENTO POR DEPARTAMENTO Torre con amenidades y doble filtro de seguridad A unos pasos de la playa Cerca de hospitales, escuelas, bancos y restaurantes Fácil movilidad vehicular CARACTERÍSTICAS: 2 Cajones de estacionamiento Espacio Sala-Comedor 1/2 Baño de visitas Cocina integral Cuarto de lavado Recamara principal con vestidor y baño completo Recamara secundaria con baño Patio trasero AMENIDADES: Rood Garden Barra e isla exterior Sala exterior Azotea de servicio Doble acceso controlado Montacargas Baños Jacuzzi",Seguridad privada | Terraza,19.1552468,-96.10234679999999,Departamento,Venta,2026-07-29T20:32:47.123654,2026-07-29T20:32:47.123654
https://www.vivanuncios.com.mx/a-venta-departamento/fraccionamiento-costa-de-oro/departamento-venta-costa-de-oro-boca-del-rio-veracruz/150627521,"MXN 4,630,000",4630000.0,MXN,0.0,154.0 m² lote | 3 rec. | 3 banos | 2 estac.,154.0,154.0,3,3,2,A estrenar,"Fraccionamiento Costa de Oro, Boca del Río, Veracruz","Veracruz, Boca del Río, Fraccionamiento Costa de Oro","¡DEPARTAMENTO DE LUJO NUEVO EN FRACC. COSTA DE ORO! A solo 2 cuadras del Blvd. Manuel Ávila Camacho y a unos pasos de la Zona Hotelera, WTC, Andamar y Plaza Américas. ¡Cerca de todo! Exclusividad total: Solo 4 departamentos nuevos con acabados residenciales de primera categoría. Dimensiones & Espacios Extra 154 m² habitables con diseño en concepto abierto e iluminación natural. 12 m² de balcón/terraza privada. 2 cajones de estacionamiento. Bodega privada. ️ Distribución Interior ️ Cocina Integral de Ensueño: Equipada con isla de granito, horno, microondas, parrilla y campana de la prestigiosa marca TEKA. ️ Recámara Principal: Con vestidor amplio y baño completo. ️ Recámara 2: Con vestidor y baño completo. ️ Recámara 3: Con clóset y baño completo. ️ Amenidades Exclusivas Alberca para relaja",Alberca | Seguridad privada | Terraza,19.1591947,-96.1024407,Departamento,Venta,2026-07-29T20:32:47.123663,2026-07-29T20:32:47.123663
https://www.vivanuncios.com.mx/a-venta-departamento/torres-el-sendero-residencial/departamento-amueblado-en-venta-sendero-cerca-de-plaza-el-dorado/148186494,"MXN 4,000,000",4000000.0,MXN,0.0,150.0 m² lote | 2 rec. | 2 banos | 2 estac.,150.0,160.0,2,2,2,5,"Torres el Sendero Residencial, Alvarado, Veracruz","Veracruz, Alvarado, Torres el Sendero Residencial","HERMOSO DEPARTAMENTO AMUEBLADO CONSTA DE 160 M2 +2 HABITACIONES (PRINCIPAL CON VESTIDOR AMPLIO Y JACUZZI), SECUNDARIA CON CLOSET +MEDIO BAÑO DE VISITA +COCINA INTEGRAL EQUIPADA CON BARRA E ISLA +AREA DE LAVADO +ESTANCIA SALA/COMEDOR AMPLIO +TERRAZA FRONTAL CON VISTA AL MAR +2 CAJONES DE ESTACIONAMIENTO (TECHADO) PRECIO DE VENTA $4,000,0000 UBICACION- RESIDENCIAL EL SENDERO, CERCA DE PLAZA EL DORADO INFORMES AL Ver datos -24 LIC. TANIA SAAVEDRA",Alberca | Seguridad privada | Aire acondicionado | Terraza,19.0688126,-96.0818062,Departamento,Venta,2026-07-29T20:32:47.123673,2026-07-29T20:32:47.123673
